epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.20490858,0.04467658,-1.432827,-1.432827,10,0.0,0.0,0.0,-0.17320476244841568,-0.17320509729876377,-0.17320513983249342,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.17320485215977655,-0.17344768205394323,-0.18842719987086093,-40.0,1600
1,0.20440874,0.042168926,-1.7339877,-1.7339877,20,0.0,0.0,0.0,-0.1732046557955667,-0.17320509549052837,-0.17320510551951915,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.1719679682231296,-0.17317185662557766,-0.17320511142576442,-40.0,3200
2,0.2038899,0.040355645,-2.0948834,-2.0948834,30,0.0,0.0,0.0,-0.1732046833082065,-0.1732050937783383,-0.17320510549505805,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.17320489436496228,-0.17320509755320868,-0.17320510452586518,-40.0,4800
3,0.2028703,0.038879283,-2.5142486,-2.5142486,40,0.0,0.0,0.0,-0.17320465650783734,-0.1732050933531712,-0.17320514254328304,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.17320481617002054,-0.1732170773856422,-0.1740620862457957,-40.0,6400
4,0.20312448,0.037990216,-2.8741407,-2.8741407,50,0.0,0.0,0.0,-0.17320470591230255,-0.17320509831171735,-0.17320510552407567,-40.0,2000,nan,nan,200,0.0,0.0,0.0,-0.17320479534928054,-0.17320509607148832,-0.17320510422947663,-40.0,8000
5,0.20257175,0.03743023,-3.3008475,-3.3008475,60,0.0,0.0,0.0,-0.17320471198257253,-0.17320509510986198,-0.17320514223845374,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.17320496621789117,-0.1732050992708153,-0.1732051113688049,-40.0,9600
6,0.20283994,0.037536394,-3.6796958,-3.6796958,70,0.0,0.0,0.0,-0.17320489368564018,-0.17320510097078973,-0.17320515786182017,-40.0,2800,nan,nan,280,0.0,0.0,0.0,-0.1732048043165761,-0.17329535279774583,-0.17685638212808893,-40.0,11200
7,0.2027006,0.037132427,-4.1735363,-4.1735363,80,0.0,0.0,0.0,-0.17320470768737373,-0.1732050971207057,-0.1732051321232764,-40.0,3200,nan,nan,320,0.0,0.0,0.0,-0.17320482023335831,-0.17320509752782726,-0.17320511369717256,-40.0,12800
8,0.2020812,0.037005607,-4.462925,-4.462925,90,0.0,0.0,0.0,-0.17320466608833043,-0.17320509968157516,-0.1732051055160651,-40.0,3600,nan,nan,360,0.0,0.0,0.0,-0.1732049801232855,-0.17320945827086862,-0.17324047145856697,-40.0,14400
9,0.20164244,0.036824957,-4.999601,-4.999601,100,0.0,0.0,0.0,-0.17320466105358384,-0.1732050888324231,-0.17320513918195932,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.173204973511624,-0.1732051001168873,-0.17320513173182764,-40.0,16000
10,0.20183358,0.036864825,-5.296964,-5.296964,110,0.0,0.0,0.0,-0.1732047241189016,-0.1732050978935403,-0.17320517305573888,-40.0,4400,nan,nan,440,0.0,0.0,0.0,-0.1732048887283514,-0.17320509746689483,-0.17320511995886653,-40.0,17600
11,0.20200095,0.036904465,-5.622921,-5.622921,120,0.0,0.0,0.0,-0.17320465906946578,-0.17320509620443666,-0.17320510553163448,-40.0,4800,nan,nan,480,0.0,0.0,0.0,-0.17320490883674736,-0.17320509718966354,-0.17320512268835847,-40.0,19200
12,0.20199347,0.037101433,-6.071681,-6.071681,130,0.0,0.0,0.0,-0.1732046882724159,-0.17320509506709747,-0.17320510476562995,-40.0,5200,nan,nan,520,0.0,0.0,0.0,-0.17320487695999423,-0.1732050984823109,-0.17320513388511818,-40.0,20800
13,0.20212236,0.03722861,-6.4428754,-6.4428754,140,0.0,0.0,0.0,-0.17320466098771287,-0.17320509240436102,-0.1732051050711067,-40.0,5600,nan,nan,560,0.0,0.0,0.0,-0.17320486583063016,-0.17320509655272534,-0.17320511729004978,-40.0,22400
14,0.20212992,0.037452098,-6.8393016,-6.8393016,150,0.0,0.0,0.0,-0.17320469062717792,-0.17320509764172748,-0.1732051507344125,-40.0,6000,nan,nan,600,0.0,0.0,0.0,-0.1732047860485809,-0.17320509708588755,-0.17320511247815676,-40.0,24000
15,0.20210111,0.037633106,-7.1427007,-7.1427007,160,0.0,0.0,0.0,-0.17320504535081066,-0.1732051004842087,-0.1732051055089643,-40.0,6400,nan,nan,640,0.0,0.0,0.0,-0.1732049613186507,-0.17320509912832577,-0.17320511035926106,-40.0,25600
16,0.20225614,0.03779802,-7.539244,-7.539244,170,0.0,0.0,0.0,-0.17320476588424383,-0.17320509900331935,-0.173205156729301,-40.0,6800,nan,nan,680,0.0,0.0,0.0,-0.1732048997736959,-0.17320509659623481,-0.17320511617236484,-40.0,27200
17,0.20255512,0.0379461,-7.912223,-7.912223,180,0.0,0.0,0.0,-0.17320471974136498,-0.17320509742111034,-0.17320510541519885,-40.0,7200,nan,nan,720,0.0,0.0,0.0,-0.1732048692687912,-0.1732050958011081,-0.17320512159752716,-40.0,28800
18,0.20257223,0.03810753,-8.271967,-8.271967,190,0.0,0.0,0.0,-0.17320485872574423,-0.17320509867718928,-0.17320518220254894,-40.0,7600,nan,nan,760,0.0,0.0,0.0,-0.1732048364532685,-0.173205098037652,-0.17320512471830352,-40.0,30400
19,0.20257433,0.038250383,-8.633283,-8.633283,200,0.0,0.0,0.0,-0.1732047100019414,-0.17320509799161649,-0.17320515774743325,-40.0,8000,nan,nan,800,0.0,0.0,0.0,-0.17320490350026305,-0.17320509766395736,-0.17320511167364044,-40.0,32000
20,0.20269614,0.038341925,-9.000961,-9.000961,210,0.0,0.0,0.0,-0.17320474644898584,-0.17320509584762345,-0.1732051151345957,-40.0,8400,nan,nan,840,0.0,0.0,0.0,-0.17320484896129812,-0.17320509702173464,-0.17320513978161273,-40.0,33600
21,0.20274858,0.038405728,-9.414508,-9.414508,220,0.0,0.0,0.0,-0.17320466446708738,-0.17320509591321268,-0.1732051666430471,-40.0,8800,nan,nan,880,0.0,0.0,0.0,-0.17320490559380863,-0.17320509757885874,-0.1732051099265055,-40.0,35200
22,0.20270973,0.03850122,-9.807454,-9.807454,230,0.0,0.0,0.0,-0.17320465591676967,-0.17320508884029906,-0.17320510551508653,-40.0,9200,nan,nan,920,0.0,0.0,0.0,-0.17320489932128919,-0.17329624116587233,-0.17393946089366813,-40.0,36800
23,0.20267005,0.038530994,-10.081949,-10.081949,240,0.0,0.0,0.0,-0.17320475193452312,-0.17320510033320624,-0.1732051054857995,-40.0,9600,nan,nan,960,0.0,0.0,0.0,-0.17320495806935748,-0.17320509909144632,-0.17320510482518262,-40.0,38400
24,0.20283197,0.038583506,-10.359304,-10.359304,250,0.0,0.0,0.0,-0.17320466711581342,-0.17320509435895268,-0.17320516503518846,-40.0,10000,nan,nan,1000,0.0,0.0,0.0,-0.17320485746819161,-0.17320509601120898,-0.17320510554958962,-40.0,40000
25,0.20298962,0.038674872,-10.776345,-10.776345,260,0.0,0.0,0.0,-0.17320475337571387,-0.17320509944647974,-0.17320510552754967,-40.0,10400,nan,nan,1040,0.0,0.0,0.0,-0.1732048491280151,-0.17320509602350187,-0.17320512894270113,-40.0,41600
26,0.20295292,0.03877221,-11.18543,-11.18543,270,0.0,0.0,0.0,-0.1732050805033417,-0.17320510025709926,-0.17320514209515206,-40.0,10800,nan,nan,1080,0.0,0.0,0.0,-0.17320487498981102,-0.17320509840894135,-0.17320511865879762,-40.0,43200
27,0.20291927,0.038848583,-11.380393,-11.380393,280,0.0,0.0,0.0,-0.17320492522125996,-0.1732050994351879,-0.1732051054491813,-40.0,11200,nan,nan,1120,0.0,0.0,0.0,-0.17320493050850239,-0.1732050987203115,-0.1732051174158463,-40.0,44800
28,0.20290947,0.038910564,-11.712594,-11.712594,290,0.0,0.0,0.0,-0.17320475798829038,-0.17320509866135964,-0.17320510535145367,-40.0,11600,nan,nan,1160,0.0,0.0,0.0,-0.17320492514650018,-0.17320509831070746,-0.17320510793141172,-40.0,46400
29,0.20298058,0.039065074,-12.043317,-12.043317,300,0.0,0.0,0.0,-0.1732047664451078,-0.1732050991745789,-0.1732052327116155,-40.0,12000,nan,nan,1200,0.0,0.0,0.0,-0.17320483339437498,-0.17360066940601393,-0.177393081451158,-40.0,48000
30,0.20291507,0.039102893,-12.412932,-12.412932,310,0.0,0.0,0.0,-0.1732046592542643,-0.17320509856777366,-0.17320514499702833,-40.0,12400,nan,nan,1240,0.0,0.0,0.0,-0.17320487809147028,-0.17320509817981275,-0.17320513158126669,-40.0,49600
31,0.202982,0.039124634,-12.753266,-12.753266,320,0.0,0.0,0.0,-0.17320476062906365,-0.1732050995789605,-0.17320517614171957,-40.0,12800,nan,nan,1280,0.0,0.0,0.0,-0.1732048371955429,-0.17320509672354983,-0.1732051266628137,-40.0,51200
32,0.20300682,0.03921176,-13.006808,-13.006808,330,0.0,0.0,0.0,-0.17320472322874764,-0.1732050986259934,-0.1732051113848523,-40.0,13200,nan,nan,1320,0.0,0.0,0.0,-0.17320487078567187,-0.1732050978101078,-0.17320511432473523,-40.0,52800
33,0.2030718,0.0392867,-13.39491,-13.39491,340,0.0,0.0,0.0,-0.1732046889769318,-0.1732050946376495,-0.1732051054998065,-40.0,13600,nan,nan,1360,0.0,0.0,0.0,-0.17320480549774417,-0.1732050965919568,-0.1732051099339066,-40.0,54400
34,0.20310247,0.03948556,-13.625881,-13.625881,350,0.0,0.0,0.0,-0.17320507638442104,-0.17320510087111005,-0.17320510541051848,-40.0,14000,nan,nan,1400,0.0,0.0,0.0,-0.17320494045279763,-0.1733197463074236,-0.17791949543398872,-40.0,56000
35,0.20309176,0.03948906,-13.930781,-13.930781,360,0.0,0.0,0.0,-0.17320465454000547,-0.1732050976981847,-0.17320510524824173,-40.0,14400,nan,nan,1440,0.0,0.0,0.0,-0.17320481593536152,-0.1732050964688714,-0.17320513103010732,-40.0,57600
36,0.20297188,0.039481763,-14.286412,-14.286412,370,0.0,0.0,0.0,-0.1732046750349779,-0.17320509939436832,-0.1732051055288231,-40.0,14800,nan,nan,1480,0.0,0.0,0.0,-0.17320482520543914,-0.17320509845608997,-0.17320510679445014,-40.0,59200
37,0.2029126,0.039462775,-14.537929,-14.537929,380,0.0,0.0,0.0,-0.17320508384263425,-0.17320510164785502,-0.17320510553121765,-40.0,15200,nan,nan,1520,0.0,0.0,0.0,-0.1732049169281598,-0.1732050986462355,-0.17320512095827864,-40.0,60800
38,0.20293385,0.039505735,-14.859544,-14.859544,390,0.0,0.0,0.0,-0.17320508465932705,-0.17320510225385305,-0.17320510515565973,-40.0,15600,nan,nan,1560,0.0,0.0,0.0,-0.17320488715192414,-0.17320509685388466,-0.17320512844706487,-40.0,62400
39,0.20294107,0.03954628,-15.241116,-15.241116,400,0.0,0.0,0.0,-0.17320466897446035,-0.17320509569638054,-0.1732051451522526,-40.0,16000,nan,nan,1600,0.0,0.0,0.0,-0.17320481635669077,-0.17320509714421925,-0.17320510768120553,-40.0,64000
40,0.2030057,0.039554834,-15.4979105,-15.4979105,410,0.0,0.0,0.0,-0.17320477841888562,-0.1732050973140648,-0.17320513283330793,-40.0,16400,nan,nan,1640,0.0,0.0,0.0,-0.17320479142585674,-0.17320509527056344,-0.17320511245283546,-40.0,65600
41,0.20305552,0.03961972,-15.81918,-15.81918,420,0.0,0.0,0.0,-0.1732046618895651,-0.17320509471779633,-0.1732051749587098,-40.0,16800,nan,nan,1680,0.0,0.0,0.0,-0.1732049325951845,-0.17320509829928682,-0.17320510427360783,-40.0,67200
42,0.20302187,0.03960834,-16.08097,-16.08097,430,0.0,0.0,0.0,-0.1732049547975715,-0.17320509865666456,-0.17320516101772968,-40.0,17200,nan,nan,1720,0.0,0.0,0.0,-0.1732049007414163,-0.1732050980519957,-0.1732051328512623,-40.0,68800
43,0.20312275,0.039645772,-16.283974,-16.283974,440,0.0,0.0,0.0,-0.17320465876028324,-0.17320509199775636,-0.1732051047174134,-40.0,17600,nan,nan,1760,0.0,0.0,0.0,-0.17320478377679224,-0.17320509486997254,-0.17320512661807247,-40.0,70400
44,0.20308226,0.039657615,-16.651907,-16.651907,450,0.0,0.0,0.0,-0.17320465614646938,-0.1732050931519499,-0.17320510525641017,-40.0,18000,nan,nan,1800,0.0,0.0,0.0,-0.1732048703325079,-0.1732050988447443,-0.17320511969977787,-40.0,72000
45,0.20309475,0.03965248,-16.951696,-16.951696,460,0.0,0.0,0.0,-0.17320477720459118,-0.17320509966656494,-0.17320510553054624,-40.0,18400,nan,nan,1840,0.0,0.0,0.0,-0.17320483797915834,-0.17320509733019512,-0.1732051309228827,-40.0,73600
46,0.20305243,0.039669767,-17.138128,-17.138128,470,0.0,0.0,0.0,-0.1732047673777552,-0.17320509573192713,-0.17320510549619303,-40.0,18800,nan,nan,1880,0.0,0.0,0.0,-0.17320487875066384,-0.17320509861897831,-0.17320511399446262,-40.0,75200
47,0.20309037,0.039666794,-17.517937,-17.517937,480,0.0,0.0,0.0,-0.173204655917386,-0.17320509766899364,-0.17320516403087896,-40.0,19200,nan,nan,1920,0.0,0.0,0.0,-0.17320489394877628,-0.17320509632178804,-0.17320512135303118,-40.0,76800
48,0.20307556,0.039642084,-17.74831,-17.74831,490,0.0,0.0,0.0,-0.17320471955062106,-0.17320509985343396,-0.1732051648793605,-40.0,19600,nan,nan,1960,0.0,0.0,0.0,-0.17320491632906201,-0.17320509874060858,-0.1732051283534316,-40.0,78400
49,0.20309862,0.03964259,-17.978992,-17.978992,500,0.0,0.0,0.0,-0.17320466020260655,-0.1732050962327963,-0.1732051272362578,-40.0,20000,nan,nan,2000,0.0,0.0,0.0,-0.1732048097390775,-0.1732050964702576,-0.17320510450724513,-40.0,80000
50,0.20309605,0.03965685,-18.29171,-18.29171,510,0.0,0.0,0.0,-0.17320497373206076,-0.17320510076326426,-0.1732051817287257,-40.0,20400,nan,nan,2040,0.0,0.0,0.0,-0.1732048825440055,-0.17320509834453338,-0.17320510389112428,-40.0,81600
