epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.20178844,0.11090927,-1.3770157,-1.3770157,10,1.0,0.1475,0.0,-0.00404547542375592,-0.14098497727933246,-0.26336435189177776,-34.1,400,nan,nan,40,0.3,0.011875,0.0,-0.1070085267104747,-0.2534880139314428,-0.6358359387619664,-39.525,1600
1,0.20352383,0.123522155,-1.762698,-1.762698,20,1.0,0.145,0.0,-0.0032331345533586323,-0.1605735970343174,-0.3140127357660739,-34.2,800,nan,nan,80,0.4,0.025,0.0,-0.09010189428409217,-0.21421671030986836,-0.4971486665070494,-39.0,3200
2,0.20518678,0.13048466,-2.0074263,-2.0074263,30,1.0,0.195,0.0,-0.019243939981127358,-0.13686190015827535,-0.24059644918682346,-32.2,1200,nan,nan,120,0.3,0.0225,0.0,-0.10592888735957717,-0.22371699039272835,-0.4431384068466194,-39.1,4800
3,0.20397031,0.13405605,-2.1404657,-2.1404657,40,1.0,0.285,0.0,-0.005749420987309685,-0.1165945903512792,-0.21520204209511815,-28.6,1600,nan,nan,160,0.3,0.01625,0.0,-0.09891030708055844,-0.22646759515141074,-0.5034608544592112,-39.35,6400
4,0.20382956,0.13335605,-2.7258515,-2.7258515,50,1.0,0.1625,0.0,-0.006429883018781258,-0.14228109891117094,-0.19610550498207477,-33.5,2000,nan,nan,200,0.0,0.0,0.0,-0.15029765364637201,-0.2275516653270921,-0.509191482913854,-40.0,8000
5,0.2026101,0.13413486,-3.0309265,-3.0309265,60,1.0,0.2275,0.0,-0.012947068255811123,-0.1274847013768481,-0.22465640509441576,-30.9,2400,nan,nan,240,0.3,0.021249999999999998,0.0,-0.10382152999370575,-0.21503734151449252,-0.4653805983162143,-39.15,9600
6,0.2007648,0.13727891,-3.1320045,-3.1320045,70,1.0,0.3,0.0,-0.002172817866364159,-0.11557882201130538,-0.23622032350221941,-28.0,2800,nan,nan,280,0.2,0.008749999999999999,0.0,-0.10874192936171143,-0.22074706477304562,-0.4248851606837344,-39.65,11200
7,0.20092934,0.13645545,-3.7773542,-3.7773542,80,1.0,0.17,0.0,-0.004909724022251197,-0.1310406651163294,-0.5782467824903288,-33.2,3200,nan,nan,320,0.0,0.0,0.0,-0.13622565626403488,-0.21188901176715666,-0.3623882133641167,-40.0,12800
8,0.20050296,0.13483153,-4.211735,-4.211735,90,1.0,0.1175,0.0,-0.013097936304798287,-0.17415046469831444,-0.7449537641782263,-35.3,3600,nan,nan,360,0.3,0.021875,0.0,-0.10960974028726897,-0.19391012969869137,-0.3782817232666397,-39.125,14400
9,0.20067182,0.13496125,-4.208976,-4.208976,100,1.0,0.26,0.0,-0.0019830695555388546,-0.12479524731547388,-0.20174189892574493,-29.6,4000,nan,nan,400,0.2,0.015625,0.0,-0.11380677058960634,-0.21029720801264312,-0.44541344844840564,-39.375,16000
