epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.20409831,0.047222413,-1.359446,-1.359446,10,0.0,0.0,0.0,-0.17320468237018347,-0.17320509564145836,-0.17320510553029947,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.17153288042109788,-0.17860416809862825,-0.2158199488690562,-40.0,1600
1,0.20396799,0.048545867,-1.7835698,-1.7835698,20,0.0,0.0,0.0,-0.17320487965499076,-0.17320509806042,-0.17320516542003317,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.17320486248416428,-0.17320509692191965,-0.17320511247976916,-40.0,3200
2,0.20333749,0.047526922,-2.0474708,-2.0474708,30,0.0,0.0,0.0,-0.17320466060650022,-0.17320509144716745,-0.17320510267706493,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.1732049210450246,-0.17320509901586026,-0.1732051267289446,-40.0,4800
3,0.20299266,0.046196032,-2.3743362,-2.3743362,40,0.0,0.0,0.0,-0.17320491677836664,-0.17330939606457577,-0.18387524359342292,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.17320495881174533,-0.17320509954526142,-0.17320511385987095,-40.0,6400
4,0.2031705,0.04494725,-2.784352,-2.784352,50,0.0,0.0,0.0,-0.1732046770933639,-0.17320509686088742,-0.17320514149338184,-40.0,2000,nan,nan,200,0.0,0.0,0.0,-0.1732049406909742,-0.17320518104904264,-0.1732182751959343,-40.0,8000
5,0.20386872,0.04413145,-3.1649694,-3.1649694,60,0.0,0.0,0.0,-0.1732050038750437,-0.17320510045895873,-0.1732051054485499,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.17264668863786384,-0.17322105912331084,-0.1735745783642006,-40.0,9600
6,0.20390247,0.043360278,-3.5965285,-3.5965285,70,0.0,0.0,0.0,-0.17320488563044137,-0.17320510025512142,-0.17320510549129875,-40.0,2800,nan,nan,280,0.0,0.0,0.0,-0.17320490597744656,-0.1732072613245099,-0.17355126590222894,-40.0,11200
7,0.20378704,0.042877447,-3.9850726,-3.9850726,80,0.0,0.0,0.0,-0.1732048517521905,-0.17320509943497459,-0.17320519044640634,-40.0,3200,nan,nan,320,0.0,0.0,0.0,-0.17320486505187324,-0.17320509736945794,-0.17320511299607,-40.0,12800
8,0.20392504,0.042482518,-4.326242,-4.326242,90,0.0,0.0,0.0,-0.1732046608165341,-0.1732050965899692,-0.17320512079911587,-40.0,3600,nan,nan,360,0.0,0.0,0.0,-0.17320486810943156,-0.17320509681294743,-0.1732051098979097,-40.0,14400
9,0.20399353,0.04215903,-4.7603045,-4.7603045,100,0.0,0.0,0.0,-0.17320479247300058,-0.17320509949255475,-0.17320510551337007,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.17320487052090036,-0.1737626422635045,-0.17993329917189466,-40.0,16000
