epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.20251909,0.07325245,-1.3501035,-1.3501035,10,0.0,0.0,0.0,-0.17320479840085454,-0.19647277752218353,-0.8520106823364233,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.1625107847457316,-0.17806613742577615,-0.20542021524670262,-40.0,1600
1,0.20210095,0.08020585,-1.7031723,-1.7031723,20,1.0,0.01,0.0,-0.03563645516718137,-0.1691406407890425,-0.5755815177561815,-39.6,800,nan,nan,80,0.0,0.0,0.0,-0.16014182909337354,-0.185205301553156,-0.25865641642173715,-40.0,3200
2,0.2002148,0.08748066,-2.16122,-2.16122,30,0.0,0.0,0.0,-0.1572881884447894,-0.19291154747604,-0.4142670037624399,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.1713684461893626,-0.1881599750522744,-0.2643659602751263,-40.0,4800
3,0.20017242,0.09122139,-2.3658316,-2.3658316,40,0.0,0.0,0.0,-0.1661220888655291,-0.17518072593563694,-0.20147056763747023,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.16776068877966635,-0.2005829093418257,-0.35908934818408733,-40.0,6400
4,0.2005766,0.09190879,-2.5919213,-2.5919213,50,1.0,0.1125,0.0,-0.00491992763270858,-0.13755711029862464,-0.17913360366977682,-35.5,2000,nan,nan,200,0.1,0.01125,0.0,-0.1257688677911763,-0.1756495478194981,-0.2784952328621887,-39.55,8000
5,0.20190436,0.09420035,-3.0159292,-3.0159292,60,1.0,0.095,0.0,-0.008342342157080277,-0.14817958567511438,-0.20010168816730095,-36.2,2400,nan,nan,240,0.0,0.0,0.0,-0.15307771825280386,-0.19838680855568389,-0.3717013498142689,-40.0,9600
6,0.20129438,0.097327195,-3.5449612,-3.5449612,70,0.0,0.0,0.0,-0.13473849784936573,-0.17912975017412108,-0.23953256142065046,-40.0,2800,nan,nan,280,0.2,0.017499999999999998,0.0,-0.11504164855143492,-0.17411326825645904,-0.2750933024262592,-39.3,11200
7,0.20076603,0.09875681,-3.9013007,-3.9013007,80,0.0,0.0,0.0,-0.08772001889566709,-0.15537853066228538,-0.1805738605103053,-40.0,3200,nan,nan,320,0.1,0.0075,0.0,-0.13694870110291352,-0.19221077762543953,-0.30807712961642253,-39.7,12800
8,0.20030068,0.09752705,-4.4373927,-4.4373927,90,0.0,0.0,0.0,-0.11582629693003499,-0.172715664722801,-0.219626800174769,-40.0,3600,nan,nan,360,0.1,0.014374999999999999,0.0,-0.13798553945764994,-0.18088755462780798,-0.21912591394953207,-39.425,14400
9,0.20064135,0.09924933,-4.7171125,-4.7171125,100,0.0,0.0,0.0,-0.09410894142776446,-0.15711668780521934,-0.22205532227309757,-40.0,4000,nan,nan,400,0.1,0.00375,0.0,-0.1308463329451494,-0.1928261334452473,-0.33581726113338,-39.85,16000
