epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86213034,0.08009064,0.25834098,0.025551464,50.0,-0.23129137,0.32,50.0,0.0
1,0.86144114,0.07318706,0.25883475,0.024193347,100.0,-0.23573014,0.7,100.0,0.16
2,0.8643057,0.07194992,0.25938937,0.023856586,150.0,-0.21325608,0.9800000000000001,150.0,0.32
3,0.86675674,0.07450661,0.2599727,0.024536908,200.0,-0.24956767,1.0,200.0,0.4
4,0.869291,0.076470986,0.26053333,0.02510205,250.0,-0.25378188,1.0,250.0,0.42000000000000004
5,0.87077254,0.07736265,0.26093096,0.025457794,300.0,-0.2547211,1.0,300.0,0.5199999999999999
6,0.8699231,0.077064134,0.26084086,0.025531748,350.0,-0.22470081,1.0,350.0,0.56
7,0.87231463,0.07739973,0.26145172,0.025686026,400.0,-0.23813775,1.0,400.0,0.6399999999999999
8,0.8727009,0.07812985,0.2615171,0.02589495,450.0,-0.24863407,1.0,450.0,0.7
9,0.8723047,0.078927815,0.26146668,0.02621206,500.0,-0.24806885,1.0,500.0,0.7
