epoch,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,10.0,-8.94073,0.0,10.0,0.0
1,20.0,-10.463738,0.0,20.0,0.0
2,30.0,-15.21774,0.0,30.0,0.0
3,40.0,-18.291922,0.0,40.0,0.0
4,50.0,-20.009457,0.0,50.0,0.0
5,60.0,-24.036648,0.0,60.0,0.0
6,70.0,-26.278095,0.0,70.0,0.0
7,80.0,-29.311192,0.0,80.0,0.0
8,90.0,-33.079857,0.0,90.0,0.0
9,100.0,-34.812477,0.0,100.0,0.0
10,110.0,-41.44922,0.0,110.0,0.0
11,120.0,-38.602562,0.0,120.0,0.0
12,130.0,-40.158672,0.0,130.0,0.0
13,140.0,-46.246838,0.0,140.0,0.0
14,150.0,-44.22664,0.0,150.0,0.0
15,160.0,-44.36208,0.0,160.0,0.0
16,170.0,-44.87583,0.0,170.0,0.0
